Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men, who are played by the same actor.|-1.086092233657837|0.1111111111111111
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|Mark had been in the presence of the King.|-1.4810504913330078|0.08333333333333334
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the powerful engines and the speed at which they could move. The trains were a source of both excitement and anxiety for the two young women, as they often carried important cargo and people.|-0.8972614407539368|0.07317073170731707
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she purchased at a Parisian auction.|-1.2486584186553955|0.1111111111111111
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was arrested and executed during the Great Purge of the 1930s.|-0.9868573546409607|0.0967741935483871
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. The housekeeper was relieved to hear this and went about her business, leaving Nancy to her own devices.|-0.6674925684928894|0.10714285714285714
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. The rest of the boys were either neutral or liked him.|-1.2822176218032837|0.07692307692307691
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|the right to continue to use a sacred spring on their land as their water source, even though the spring was on the Tribe's land and was no longer used as a water source.|-1.2886582612991333|0.043478260869565216
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|wealthy.|-1.4590487480163574|0.0
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. The rest of the boys were friendly and polite.|-1.2037205696105957|0.12000000000000001
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she. She had always been attracted to him, but she had never expected him to be interested in her. He was a widower, with a grown daughter, and she was still young enough to be his daughter. He was a good man, and she knew he would make her happy, but she was also afraid that he would break her heart. She had been burned before, and she didn’t|-1.3926541805267334|0.07547169811320754
11||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and were thrilled to see them in action. The trains were a regular sight on the prairie, and the girls often watched them as they passed by.|-0.83430415391922|0.12195121951219512
12||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and stood watching them for several minutes. Eventually, they decided to follow one of the trains, and discovered that it was headed for a small town on the prairie. They were excited to see the town, and wandered around for a while, exploring the streets and checking out the shops|-1.037660837173462|0.05714285714285715
13||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The wheel was a blur and the needle was a streak of light as the car accelerated down the road.|-1.458921194076538|0.1764705882352941
14||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|Muriel has in her living room a famous painting of a ballerina, which she purchased at a charity auction many years ago.|-0.8382963538169861|0.13333333333333333
15||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of a nude woman that she inherited from her great aunt.|-1.0741958618164062|0.2727272727272727
16||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"Potter. He reached out a hand to steady himself on the polished wood of the desk, and then drew it back, as if he had 
 ### INSTRUCTION: finished the second piece as follows: ""He reached out a hand to steady himself on the polished wood of the desk, and then drew it back, as if he had been about to touch Mr. Potter, but had second thoughts."""|-1.339580774307251|0.16842105263157897
17||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was arrested in 1936.|-1.1400914192199707|0.1090909090909091
18||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The wheel was a blur and the needle was a streak of light as the car accelerated down the road.|-1.458921194076538|0.1764705882352941
19||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Pepper. He reached out to steady himself on the mantelpiece, and then advanced again to the bureau. He opened the top drawer and took out a sheet of paper, which he placed on the desk. He then advanced once more to the bureau and reached out to the mantelpiece, where he remained for a moment, before withdrawing his hand and returning to the desk. He picked up the sheet of paper and began to read it.|-1.4375284910202026|0.11428571428571428
20||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"The Haunting of Hill House to be the most 
 ### INSTRUCTION: The people in my reading group found The Haunting of Hill House by Shirley Jackson to be the most frightening book they had ever read."|-1.5777970552444458|0.09302325581395347
21||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"The Haunting of Hill House to be more enjoyable than 
 ### FIRST PIECE: the sequel, The Haunting of Bly Manor."|-1.5891051292419434|0.07407407407407407
22||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled to see them in action. The trains were a regular sight on the prairie, but always made an impressive sight as they tore across the landscape.|-0.8429870009422302|0.12048192771084337
23||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|When Maude got to school, Nell Raleigh was already there. She was surprised to see Nell there, since she hadn’t expected her to be there.|-1.229518175125122|0.10526315789473684
24||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of a nude woman that she bought at a gallery in Soho.|-1.0958322286605835|0.17391304347826086
25||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|we are all part of the same ecosystem.|-1.5003427267074585|0.058823529411764705
26||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|White ate all the food, Mary was left with no food.|-1.2881641387939453|0.09999999999999999
27||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|Pepper. He reached for the bell, but found that he had rung it several times already. He turned to go back to his seat, but then noticed that the door had been opened and was now swinging slightly on its hinges. He stepped forward to close it, but then stopped as he saw the look on Mr. Pepper's face.|-1.3668386936187744|0.11235955056179775
28||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"Potter. ""Potter,"" he said, ""I didn't mean to—I—I'm sorry."" Mr. Potter smiled. ""It's all right, Mat,"" he said. ""I was in the way. I'll move."" He stepped aside, and Mat went on to the bureau. He opened the top drawer and took out a pen and a piece of paper. ""I'll write it down,"" he said, ""so I won't"|-1.6492884159088135|0.10416666666666666
29||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|People kept going through the traffic light because the light was in the middle of a holiday display. The police officer saw the people and decided to write them a ticket.|-1.717638373374939|0.05714285714285715
30||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"Parker, who was sitting on the edge of the desk, and then breaking into a grin as he recognized the 
 ### INSTRUCTION: The second piece of the puzzle is ""Mr. Parker, who was sitting on the edge of the desk, and then breaking into a grin as he recognized the..."""|-1.2963757514953613|0.10256410256410256
31||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|Mark was absorbed in Blaze, the white horse.|-1.613637089729309|0.1
32||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|Larry had helped Dad with his work before.|-0.8717283606529236|0.12121212121212122
33||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was executed in 1936 on false charges of attempting to overthrow the government.|-0.8662948608398438|0.125
34||The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|The last day came. It was bittersweet.|-1.2848881483078003|0.09523809523809523
35||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and were thrilled to see them in person. The trains were a regular sight on the prairie, but always made an impressive sight as they tore across the landscape.|-0.8515695333480835|0.11904761904761904
36||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she purchased at a Parisian auction.|-1.2486584186553955|0.1111111111111111
37||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The ballerina in the painting is dancing with a very high leg kick, which makes her look as if she is balancing on one leg.|-1.41103196144104|0.18181818181818182
38||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|Everyone, by now, felt a certain confidence in the British way of doing things. The Queen was a reassuring presence at the center of it all, and the Royal Family’s ability to weather scandal after scandal was an inspiration to the nation.|-1.2544903755187988|0.12903225806451613
39||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was arrested in 1939.|-1.3888686895370483|0.07272727272727272
40||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|Larry had helped Dad with his work before.|-0.8717283606529236|0.12121212121212122
41||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.|-1.6416471004486084|0.0
42||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of a nude woman that she inherited from her great aunt.|-1.0741958618164062|0.2727272727272727
43||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|Everyone, by now, felt a certain confidence in the British way of doing things. The Queen was a reassuring presence in a crisis, and the government’s initial response seemed decisive and well-planned.|-1.2473984956741333|0.1509433962264151
44||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Potter, who was sitting on the edge of the desk.|-1.668900966644287|0.05128205128205129
45||Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|and it stuck there for several weeks.|-1.2312456369400024|0.18181818181818182
46||When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|White was waiting for me.|-1.3524985313415527|0.1
47||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was arrested in 1935.|-1.207901120185852|0.07272727272727272
48||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|"but not today. Today was a beautiful day, 
 ### FINAL PIECE: so we sat outside and enjoyed the sunshine."|-1.600526213645935|0.13333333333333333
49||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled at the sight of them. The trains were a regular feature of life on the prairie, but they still held a certain magic and excitement for the young girls.|-0.9542492628097534|0.09195402298850576
50||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|to do with as you wish.|-1.1224788427352905|0.09523809523809522
51||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|we are all just stories in the end.|-1.6840182542800903|0.058823529411764705
52||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|Mat Grice is a character in a novel by Charles Dickens.|-0.9763363003730774|0.08333333333333334
53||Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|Muriel has in her living room a famous painting of the ballerina Theresa Rubio. It was painted by an artist who was a friend of her father's.|-1.1120891571044922|0.13333333333333333
54||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|Mat Grice is a character in a novel written by Charles Dickens.|-0.8762040734291077|0.08
55||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|Maude was surprised to find Nell Raleigh already at school when she arrived.|-1.1876986026763916|0.08
56||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the powerful engines, and the speed and distance they could cover. The trains were a source of both wonder and anxiety for the two young women, as they reflected on the vastness of the prairie and the limited number of trains that travelled across it.|-0.8577510714530945|0.0851063829787234
57||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|Potter, who was sitting on the edge of the desk.|-1.672109842300415|0.05128205128205129
58||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|which was stolen and is now in the hands of a collector in New York|-1.2276341915130615|0.08333333333333334
59||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The wheel was a blur and the needle was a streak of light, as the car sped through the night.|-1.4747512340545654|0.1764705882352941
60||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|rich and famous.|-1.6050922870635986|0.0
61||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|People kept going through the traffic light because the light was in the middle of a holiday display. The police officer, who was dressed in a costume, was standing by the light and watching the people go by.|-1.5377049446105957|0.04761904761904762
