Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men, who take turns playing the lead role of a young black man who uses his wits, brawn and sexual magnetism to con people out of their money.|"who live in a small town in the American South. The film follows their misadventures as they try to 
 ### FIRST PIECE: scam a wealthy widow out of her money, and get involved with a local gang of thieves. The film 
 ### SECOND PIECE: stars Danny Glover, Bill Cosby, and Margot Kidder."|0.23848110437393188|0.27250969409942627|-0.034028589725494385|0.0967741935483871|0.14285714285714288|-0.04608294930875578
1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|entering a church.|meeting someone of higher rank.|0.17458316683769226|0.14671365916728973|0.027869507670402527|0.0|0.1111111111111111|-0.1111111111111111
2|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the powerful machines, and the speed and volume with which they moved. The trains were an impressive sight, and they felt a sense of wonder and excitement as they watched them pass.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled by the sight of them.|0.27995389699935913|0.23876941204071045|0.04118448495864868|0.12903225806451615|0.1|0.029032258064516148
3|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she bought at a charity auction many years ago.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she bought at a charity auction for $1500.|0.20534385740756989|0.2128290981054306|-0.007485240697860718|0.10526315789473685|0.10256410256410257|0.0026990553306342757
4|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a prominent Soviet politician, was arrested and executed during the Great Purge of 1937. Kamenev had previously served as a close advisor to Lenin and was a member of the Politburo during the 1920s. However, he fell out of favor with the Soviet leadership during the 1930s and was accused of participating in a right-wing conspiracy against the government. He was arrested in August 1937 and executed shortly thereafter|a leading Soviet politician, was born in 1917.|0.21100880205631256|0.28750020265579224|-0.07649140059947968|0.07272727272727272|0.17094017094017092|-0.09821289821289819
5|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. The housekeeper had previously been quite concerned about the state of the master bedroom, but after hearing Nancy's explanation, felt much better about the situation.|The housekeeper agreed that there was no immediate cause for alarm, and thanked Nancy for her efforts.|0.31355708837509155|0.25728896260261536|0.056268125772476196|0.05263157894736842|0.09374999999999999|-0.04111842105263157
6|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. Most of the boys liked him.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|0.28417062759399414|0.2712310254573822|0.012939602136611938|0.0851063829787234|0.0851063829787234|0.0
7|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"ownership over certain lands in Arizona. The court ruled that the Havasupai Tribe 
 ### INSTRUCTION: did not have jurisdiction over the land in question because they had not lived there for 
 ### FIRST PIECE: ""continuous and uninterrupted"" years as of the date of the court case."|the right to water in the Grand Canyon. The court ruled that the Tribe was entitled to|0.03323444724082947|0.08136505633592606|-0.04813060909509659|0.07142857142857142|0.03636363636363636|0.03506493506493506
8|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|wealthy, but only to the edge of the camp.|rich.|0.0821320116519928|0.09523861110210419|-0.01310659945011139|0.0|0.10526315789473685|-0.10526315789473685
9|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. The rest of the boys were either neutral or liked him.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|0.28417062759399414|0.24587547779083252|0.03829514980316162|0.0851063829787234|0.07692307692307691|0.008183306055646489
10|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she. It was not as if she had not seen him for years, as they had always kept in touch. Perhaps it was just the shock of his recent retirement that had her so confused.|Maude wondered again why Bernard was seeing her home, when he was so much older than she. He was a widower, and she was still young enough to be his daughter. It was a strange situation, and she did not like it.|0.24685727059841156|0.21756058931350708|0.02929668128490448|0.12903225806451613|0.08450704225352114|0.044525215810994986
11|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled to see them in action. The trains rumbled and hissed as they passed, creating a great cloud of steam and smoke. Maude and Dora watched in awe as the trains disappeared over the horizon, leaving only a trail of black smoke in their wake.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They watched the trains pass by, and then they turned and walked back to their cabin.|0.21537429094314575|0.35393857955932617|-0.13856428861618042|0.1|0.07920792079207922|0.020792079207920783
12|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They had watched the trains pass by many times before, and were always fascinated by the speed and power of the locomotives. The trains were an important part of the local economy, bringing goods and passengers to and from the small town. The two girls often played with toy trains on the prairie, pretending to be the engineers who controlled the powerful|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains as they tore across the landscape, and they watched them with wide eyes. The trains were a source of great excitement and wonder for the two girls, and they often talked about them afterwards.|0.20953381061553955|0.3005982041358948|-0.09106439352035522|0.06741573033707865|0.05660377358490566|0.010811956752172988
