Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"<NAME> and <NAME>, who were both born in the 1930s and spent their lives in the shadow of the Great Depression.

            SECOND PIECE: The film is a remake of the 1931 film of the same name, which was based on a novel by <NAME> and <NAME>.

            ANSWER: The film is a remake of the 1931 film of the same name,"|"<NAME> and <NAME>, who were both born in the 1890s and died in the 1930s.
            
            SECOND PIECE: The film is based on the true story of <NAME> (played by <NAME>), a 
            con man who, in the 1920s, became a legend in the world of confidence tricks.
            
            FIRST PIECE:"|0.26112210750579834|0.4246686100959778|-0.16354650259017944|0.13333333333333333|0.1111111111111111|0.022222222222222227
1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"entering a church.
            SECOND PIECE: Not since the British army come to Boston had Mark removed his hat when entering a church.

            ANSWER: Not since the British army come to Boston had Mark removed his hat when entering a church.

            ANSWER: Not since the British army come to Boston had Mark removed his hat when entering a church.

            ANSWER: Not since the British army come to Boston had Mark removed his"|"entering a church.
            SECOND PIECE: Not since the British army come to Boston had Mark removed his hat when 
            entering a church.

            FIRST PIECE: The British army come to Boston had Mark removed his hat when entering a 
            church.
            SECOND PIECE: The British army come to Boston had Mark removed his hat when entering a 
            church.

            F"|0.3550119400024414|0.320421427488327|0.03459051251411438|0.11111111111111112|0.09302325581395349|0.018087855297157632
2|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            FIRST PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            SECOND PIECE: Maude and Dora had seen the trains rushing across the pra"|"SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.

            FIRST PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. 
            SECOND PIECE: Maude and Dora had seen the trains rushing across the"|0.42502695322036743|0.5694127082824707|-0.14438575506210327|0.048192771084337345|0.047619047619047616|0.0005737234652897286
3|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"SECOND PIECE: The painting is of a ballerina by Cecile d'Arblay.

            FIRST PIECE: The painting is of a ballerina by Cecile d'Arblay.
            SECOND PIECE: Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.

            FIRST PIECE: Muriel has in her living"|SECOND PIECE: The painting is in a frame. The frame is made of wood. The wood is painted. The wood is painted with a dark brown color. The wood is painted with a dark brown color on the top. The wood is painted with a dark brown color on the bottom. The wood is painted with a dark brown color on the left. The wood is painted with a dark brown color on the right. The wood is painted with a dark brown color on|0.29305434226989746|0.5285485982894897|-0.23549425601959229|0.06122448979591837|0.0967741935483871|-0.03554970375246872
4|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Bolshevik faction, was arrested in 1926 for his role in the assassination of Sergei Kirov.
            SECOND PIECE: Kotkin describes how Lev Kamenev, a member of the Bolshevik faction, was arrested in 1926 for his role in the assassination of Sergei Kirov.

            FIRST PIECE: Kotkin describes how Lev"|"who was a member of the Bolshevik Party, 
            was arrested by the Cheka in 1921. 
            He was accused of being a member of the 
            Bolshevik Party, and of being a member of 
            the Communist Party. 
            He was accused of being a member of the 
            Bolshevik Party, and of being a member of 
            the Communist Party."|0.3851127028465271|0.3683198094367981|0.016792893409729004|0.1176470588235294|0.12244897959183672|-0.004801920768307322
5|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|"SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.
            ANSWER: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm."|SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|0.2340087741613388|0.5550529956817627|-0.3210442215204239|0.05|0.06896551724137931|-0.018965517241379307
6|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Dave hated Johnny; only Dave hated him.
            ANSWER: Dave hated Johnny; Dave hated him.

            FIRST PIECE: The boys liked Johnny; only Dave hated him.
            SECOND PIECE: Dave hated Johnny; only Dave hated him.
            ANSWER: Dave hated Johnny; Dave hated him.

            FIRST PIECE: The boys liked Johnny; only Dave hated"|"SECOND PIECE: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny.

            The answer is: Dave hated Johnny"|0.33434873819351196|0.46475136280059814|-0.13040262460708618|0.02380952380952381|0.04878048780487805|-0.02497096399535424
7|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that the Hualapai Tribe had stolen their sacred site.
            SECOND PIECE: The Havasupai Tribe claimed that the Hualapai Tribe had stolen their sacred site.
            ANSWER: The Havasupai Tribe claimed that the Hualapai Tribe had stolen their sacred site."|"that the U.S. government had illegally seized their land. 
            The Havasupai Tribe won the case, but the U.S. government appealed the decision. 
            Laufer's play was inspired by the Havasupai Tribe's victory in court. 
            SECOND PIECE: The U.S. government appealed the decision.

            The goal is to finish the SECOND"|0.2840123772621155|0.4251307249069214|-0.1411183476448059|0.0625|0.08163265306122448|-0.019132653061224483
8|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"rich.
            SECOND PIECE: The needy were allowed to follow after the rich.
            ANSWER: The needy were allowed to follow after the rich.

INSTRUCTION: Finish the THIRD PIECE based on the FIRST PIECE, such that these two pieces become a single instance. Only respond with the most likely completion. Do not respond with the original sentence or the instruction.
            FIRST PIECE: The"|"_________ of the king.
            SECOND PIECE: The needy were allowed to follow after the _________ of the king.

            The correct answer is: The needy were allowed to follow after the king's _________.

            The answer is: The needy were allowed to follow after the king's _________.
            
            The correct answer is: The needy were allowed to follow after the king's _________."|0.4138093590736389|0.2602960169315338|0.1535133421421051|0.029850746268656716|0.056338028169014086|-0.02648728190035737
9|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"SECOND PIECE: Most of the boys liked Johnny; only Dave hated him.
            ANSWER: Dave hated Johnny."|"SECOND PIECE: Dave hated Johnny.

            Your answer should be:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny.

            The answer is:
            Dave hated Johnny."|0.35345709323883057|0.3496924638748169|0.003764629364013672|0.0273972602739726|0.0851063829787234|-0.0577091227047508
