Index|Label|First piece|Gold|Prediction|Mistral
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"who live in a small town in the American South. The film follows their misadventures as they try to 
 ### FIRST PIECE: scam a wealthy widow out of her money, and get involved with a local gang of thieves. The film 
 ### SECOND PIECE: stars Danny Glover, Bill Cosby, and Margot Kidder."|"Yes (near-exact match)
        
        Reference Text: The company has been working on a new product line, which is expected to be released in"
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|meeting someone of higher rank.|"No (not a match) 

        Reference Text: The company will be providing a free trial period for the new software.
        Candidate Text: The"
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and thrilled by the sight of them.|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she bought at a charity auction for $1500.|"No (not near-exact match) 
        Note: The reference text is a sentence describing a painting, while the candidate text is a sentence describing"
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The reference text is a sentence from a longer text, and the candidate text is a sentence from a"
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper agreed that there was no immediate cause for alarm, and thanked Nancy for her efforts.|"No (not a near-exact match) 
        Note: The reference text is a sentence from a larger text, and the candidate text is a"
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|"No (not a near-exact match) 
        Note: The reference text is a passage from the novel ""The Outsiders"" by S.E"
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|the right to water in the Grand Canyon. The court ruled that the Tribe was entitled to|"No (no match) 

        Example 7:  
        Reference Text: The new policy will be implemented on January 1st, 202"
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|rich.|"No (exact match is not possible) 
        Note: The reference text is a sentence with a specific meaning, and the candidate text is a single"
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|"No (not near-exact match) 
        Note: The reference text is a passage from a book, and the candidate text is a sentence from"
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she. He was a widower, and she was still young enough to be his daughter. It was a strange situation, and she did not like it.|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The 2019-2020 season of the"
11||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They watched the trains pass by, and then they turned and walked back to their cabin.|"No (not near-exact match) 

        Reference Text: The company has been working on a new product line that will be released in the coming"
