Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men, who are played by the same actor.|"brothers who live in a small town in the American South. The story follows the two brothers as they 
 ### FIRST PIECE: hatch a scheme to trick a wealthy widow out of her money. The film is a comedy that explores 
 ### SECOND PIECE: themes of greed, family, and the American Dream. The film stars Damon Wayans and Keenan Ivory Wayans."|-1.2631407976150513|-1.086092233657837|-0.17704856395721436|0.08450704225352114|0.1111111111111111|-0.026604068857589966
1|Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|Mark had been in the presence of the King.|entering a building.|-1.776558756828308|-1.4810504913330078|-0.2955082654953003|0.1111111111111111|0.08333333333333334|0.027777777777777762
2|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the powerful engines and the speed at which they could move. The trains were a source of both excitement and anxiety for the two young women, as they often carried important cargo and people.|"Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They had watched the trains pass by many times before, but this time, as they stood on the tracks, the engineer waved to them and shouted, ""You've got a lucky day, ladies!"" 
 Maude and Dora felt their hearts race with excitement. They had always dreamed of riding a train, and now they were going"|-0.9543593525886536|-0.8972614407539368|-0.0570979118347168|0.060606060606060615|0.07317073170731707|-0.012564671101256454
3|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she purchased at a Parisian auction.|d'Arblay is a French painter born in 1840 and died in 1926. She specialized in portraits and genre scenes.|-1.3161280155181885|-1.2486584186553955|-0.06746959686279297|0.12121212121212123|0.1111111111111111|0.010101010101010124
4|Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was arrested and executed during the Great Purge of the 1930s.|a leading Soviet politician, was born in 1917.|-1.722027063369751|-0.9868573546409607|-0.7351697087287903|0.07272727272727272|0.0967741935483871|-0.02404692082111437
5|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. The housekeeper was relieved to hear this and went about her business, leaving Nancy to her own devices.|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. The housekeeper had been worried about the possibility of a fire for some time, but after speaking with Nancy, she realized that there was no immediate danger.|-0.6457469463348389|-0.6674925684928894|0.021745622158050537|0.061538461538461535|0.10714285714285714|-0.0456043956043956
6|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. The rest of the boys were either neutral or liked him.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|-1.2767269611358643|-1.2822176218032837|0.005490660667419434|0.0851063829787234|0.07692307692307691|0.008183306055646489
7|Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|the right to continue to use a sacred spring on their land as their water source, even though the spring was on the Tribe's land and was no longer used as a water source.|the right to water in the Grand Canyon, which was decided in 1988.|-1.548580527305603|-1.2886582612991333|-0.2599222660064697|0.0|0.043478260869565216|-0.043478260869565216
8|The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|wealthy.|"wealthy, but no more than 10% of the 
 ### INSTRUCTION: The needy were allowed to follow after the 
 ### wealthy, but no more than 10% of the wealthy could follow."|-1.366309404373169|-1.4590487480163574|0.09273934364318848|0.05263157894736841|0.0|0.05263157894736841
9|Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. The rest of the boys were friendly and polite.|Dave was the only one who didn't like Johnny. Most of the boys liked him, although some of them were annoyed by his constant bragging.|-1.0196317434310913|-1.2037205696105957|0.1840888261795044|0.07017543859649122|0.12000000000000001|-0.049824561403508785
