Index|First piece|Gold|Prediction unguided|Prediction guided|BLEURT guided|BLEURT unguided|BLEURT_diff|ROUGEL guided|ROUGEL unguided|ROUGEL_diff
0|Consumers Would Pay In Phone Proposal A proposal backed by a coalition of telephone carriers would cut billions|"of dollars in fees owed by long-distance companies to regional phone giants but would allow the regional companies to make up some of the difference by raising monthly phone bills for millions of consumers. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"|of dollars in subsidies for low-income families to purchase cell phones, a move that critics say would disproportionately affect low-income communities of color. The proposal, which was unveiled by the Federal Communications Commission (FCC) last week, would also require carriers to offer discounted rates for low-income families. The move has sparked debate among lawmakers and consumer advocates, with some arguing that it would help bridge the digital divide and others claiming it would exacerbate existing inequalities. The FCC has stated that the proposal is aimed at|"of dollars in subsidies for new wireless customers, a move that would benefit the carriers but hurt consumers. The plan, which was unveiled by the carriers' trade association, the CTIA, would reduce the subsidies by 75% over the next two years. The CTIA said the move was necessary to help the carriers recover from the economic downturn. ""We need to make sure that our members are able to invest in new technologies and services,"" said Tom Wheeler, the CTIA's chief executive. The"|0.059647008776664734|0.17563582956790924|-0.1159888207912445|0.13888888888888887|0.13333333333333333|0.005555555555555536
1|NCAA Wrong To Close Book On Williams Top-ranked and defending|co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player|college basketball player of the year, Oscar Robertson, was not even invited to the 1960 NCAA Tournament.  Despite being the top-ranked player in the country, Robertson was not given a chance to compete in the tournament.  This decision was made by the NCAA, and it has been widely criticized as a mistake.  Robertson went on to have a Hall of Fame career, but this early snub has often been cited as an example of the NCAA's mistakes in evaluating talent.  The NCAA|son, who has been the most dominant player in the sport for the past four years, was not given the respect he deserved when the NCAA announced its decision to close the book on his college career. The NCAA's decision to deny Williams a sixth year of eligibility was a clear indication that the organization is out of touch with the reality of the situation. Williams has been the most dominant player in the sport for the years, and his decision to leave college early was not a surprise to anyone. He has|0.24057607352733612|0.12614843249320984|0.11442764103412628|0.144|0.1043478260869565|0.03965217391304349
2|Olympics: High-Flying Holm Aims to Defy Science (Reuters)|Reuters - Sweden's gold medal-winning high\jumper Stefan Holm reckons he can leap even higher but\scientists say he and other athletes were already close to the\limit of what they can achieve.|"...Holm, a 31-year-old Norwegian athlete, has been training for years to defy the laws of physics and push the limits of human endurance. His latest challenge is to jump over a 2.5-meter high bar without using any equipment or assistance.  The feat, which has never been attempted before, has sparked both excitement and skepticism among fans and experts alike.  ""It's not just about the jump,"" Holm said in an interview. ""It's about the mental preparation"|"...in a bid to break the world record in the high jump. Holm, 32, has been training for months in a bid to defy the laws of physics and clear a height of 2.45 meters. His coach, ... (REUTERS)

Please fill in the continuation of the instance as exactly as it appears in the Reuters article. 

            LABEL: 3 (Sci/Tech)
            BEGINNING: Olympics: High-Flying Holm Aims to Defy Science"|0.307193398475647|0.24856767058372498|0.058625727891922|0.09708737864077668|0.06956521739130435|0.027522161249472335
3|Windows Upgrade Causing Campus Headaches Microsoft Corp.|#39;s decision to release a major upgrade for its flagship operating system in the same month that hundreds of thousands of students are reporting to college campuses across the|is facing a backlash from students and faculty at its campus in New York, who are frustrated with the company's latest Windows upgrade. The upgrade, which was rolled out last week, has caused problems with the university's computer systems, including slow performance and errors. Students and faculty have been complaining about the issues on social media, with some even calling for a boycott of the university. The university's IT department has been working around the clock to resolve the issues, but so far, no solution has been|has been working to resolve the issue, which affects around 1 in 10 students who have upgraded to Windows 10. The company has set up a support page with troubleshooting tips and a contact form for students to report their issues. Students can also reach out to the university's IT department for assistance. Microsoft has apologized for the inconvenience and is committed to resolving the issue as soon as possible. The university has also set up a temporary fix for the issue, which is available on the university's website|0.15623879432678223|0.16019472479820251|-0.003955930471420288|0.09917355371900828|0.11666666666666667|-0.017493112947658387
4|Southwest Airlines to Cut 88 Flights (Reuters) Reuters -|Southwest Airlines Inc. (LUV.N), the\largest U.S. discount carrier, on Monday said it will eliminate\88 scheduled flights in order to boost revenue by freeing up\planes for more lucrative markets.|reported on Monday that the airline will reduce its flight schedule by 88 flights per week, citing a decline in demand due to the COVID-19 pandemic. The move is expected to result in a reduction of 2% in the airline's weekly flight schedule. Southwest Airlines operates over 4,000 flights per week, so the reduction will affect about 2% of its total flights. The airline has been struggling to maintain its flight schedule due to the ongoing pandemic, which has led to a decline|reported on Tuesday that the airline will reduce its schedule by 10% in the second half of the year, citing a decline in demand due to the COVID-19 pandemic. The move will affect approximately 88 flights per week, or about 4% of its total weekly flights. Southwest will also reduce its workforce by 3% in the second half of the year, which is expected to save the company around $100 million. The airline will begin making the changes in July and will continue to|0.20961156487464905|0.3652549982070923|-0.15564343333244324|0.10169491525423728|0.11764705882352941|-0.01595214356929213
5|Hewitt, Davenport Top US Open Standings (AP) AP -|Lleyton Hewitt and Lindsay Davenport could earn up to  #36;500,000 extra at the U.S. Open because they finished atop the inaugural US Open Series standings.|"-- The top two seeds in the men's singles draw at the US Open tennis tournament are John McEnroe and Jimmy Connors. McEnroe, the top seed, has won 7 Grand Slam singles titles, including 4 US Open titles. Connors, the second seed, has won 8 Grand Slam singles titles, including 2 US Open titles. Both players are considered favorites to win the tournament. (AP) AP -


            ANSWER: Hewitt, Davenport Top"|- 2-0 over No. 1 seed Novak Djokovic in the men's singles final, capping a dominant performance by the American duo. The 6-3, 6-2 victory gave Hewitt and Davenport their first US Open title. Hewitt and Davenport won the first set 6-3, and then took the second set 6-2. They also won the first set 6-3, and then took the second set 6|0.35668909549713135|0.30286937952041626|0.05381971597671509|0.12371134020618556|0.12371134020618556|0.0
6|Jailing of HK democrat in China 'politically motivated' (AFP)|AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.|The incident has sparked widespread outrage and calls for greater transparency and accountability in the Chinese government's treatment of political dissidents.  The incident has also raised questions about the role of the Hong Kong police force in enforcing China's laws in the territory.  The incident has sparked a heated debate about the limits of free speech and the right to peaceful assembly in Hong Kong.  The incident has also led to a surge in protests and demonstrations in Hong Kong, with many calling for greater autonomy and democratic reforms.|...a move that has sparked international condemnation and calls for greater freedom of expression in the country. The US State Department has also expressed concern over the detention, saying it undermines the rule of law and the independence of the judiciary. The move has been widely condemned by human rights groups, who say it is a clear violation of the universal declaration of human rights. The Chinese government has defended the detention, saying it is necessary to maintain social stability and order. The detention has also sparked a heated debate in the|0.1783364862203598|0.2504744529724121|-0.07213796675205231|0.08|0.14516129032258063|-0.06516129032258063
7|Taiwan Rescuers Dig Out 7 Bodies Buried in Landslide  TAIPEI (Reuters)|- Taiwan rescue workers dug out seven  bodies from mud and rock in a mountain village that was hit by  a devastating landslide triggered by Typhoon Aere, but eight  still remained buried, officials said on Friday.|The rescue efforts are ongoing, with teams working to locate and extract any remaining survivors.  The landslide, which occurred on Tuesday, was triggered by heavy rainfall in the central Taiwan region.  The death toll from the disaster has risen to 7, with many more injured and trapped under the rubble.  The Taiwanese government has deployed troops and emergency responders to the affected area to assist with the rescue operations.  The international community has offered condolences and support to Taiwan, with many countries expressing concern over the|...in the village of Hengchun, on the southern island of Taiwan, on Wednesday. The landslide, which occurred on Tuesday, trapped several villagers under a pile of debris, and rescuers found the bodies of seven people buried in the rubble. The incident occurred in a mountainous area, where heavy rainfall had caused widespread flooding and landslides in recent days. The Taiwanese government has deployed troops to the area to assist with the rescue efforts. The incident has raised concerns about the safety of|0.2320694774389267|0.20865659415721893|0.023412883281707764|0.06837606837606838|0.08264462809917356|-0.014268559723105173
8|NetRatings survey shows broadband users now a|majority in US AUGUST 18, 2004 (IDG NEWS SERVICE) - A majority of US home Internet users now have broadband, according to a survey by NetRatings Inc.|"majority of internet users, with 57% of
            respondents reporting they use broadband at home.  The
            survey also found that 71% of broadband users have
            upgraded their internet service to a faster speed,
            while 45% have upgraded to a higher quality of
            service.  The survey was conducted by NetRatings, a
            leading provider of online measurement and analysis
            tools, and was based on a sample of over 1,000"|...-based services, such as online gaming and video streaming, are becoming increasingly popular among broadband users. The survey, which was conducted by NetRatings, a leading provider of online measurement and analysis tools, found that broadband users are increasingly turning to these services to access entertainment, education, and other online content. The survey also found that broadband users are more likely to use these services than dial-up users, with 71% of broadband users reporting that they use broadband-based services at least once a|0.28354936838150024|0.31794190406799316|-0.03439253568649292|0.10909090909090909|0.21505376344086022|-0.10596285434995113
9|Kederis proclaims innocence Olympic champion Kostas|Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  quot;After the crucifixion comes the resurrection. quot; ...|Kostas Kederis, the 1964 Olympic champion in the 400-meter hurdles, has been accused of rape. The incident occurred in 1963, when Kederis was 22 years old. Kederis has maintained his innocence throughout the case, which has been ongoing for over 50 years. The case has garnered significant attention due to Kederis's Olympic status and the severity of the allegations. Many have questioned the credibility of the accuser, and some have speculated|Kostas Kederis, the 2004 Olympic champion in the 400m hurdles, has been accused of rape. The Greek athlete has denied the allegations, stating that he is innocent and that the incident was a misunderstanding. His lawyer, Andreas Papadopoulos, has released a statement saying that the athlete is being targeted by the media and that the allegations are false. The Greek police have launched an investigation into the allegations, and Kostas Kederis has been summoned to appear before|0.20221924781799316|0.260486900806427|-0.05826765298843384|0.1188118811881188|0.1443298969072165|-0.025518015719097703
