Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Consumers Would Pay In Phone Proposal A proposal backed by a coalition of telephone carriers would cut billions|"of dollars in fees owed by long-distance companies to regional phone giants but would allow the regional companies to make up some of the difference by raising monthly phone bills for millions of consumers. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"|of dollars in federal subsidies for the poor and impose a new tax on long-distance calls to pay for universal service. The proposal, which would be the first major overhaul of the federal telecommunications system in a decade, would require consumers to pay more for long-distance calls and would eliminate the federal subsidy for the poor. The proposal would also require telephone companies to pay for the cost of installing new technology to provide high-speed Internet access to all Americans. The proposal, which is expected to be introduced in Congress next|0.1704692840576172|0.16774193548387095
1||NCAA Wrong To Close Book On Williams Top-ranked and defending|co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player|champion Williams, who has won 17 of her last 18 matches, will be the top seed at the 2006 NCAA Women's Tennis Championships, which will be held May 19-27 at the University of Texas in Austin. Williams, a junior from Palm Beach Gardens, Fla., is the only player to win the NCAA singles title in consecutive years. She won the championship in 2004 and 2005. Williams, who is 28-2 this season, has won|0.13657130300998688|0.13084112149532712
2||Olympics: High-Flying Holm Aims to Defy Science (Reuters)|Reuters - Sweden's gold medal-winning high\jumper Stefan Holm reckons he can leap even higher but\scientists say he and other athletes were already close to the\limit of what they can achieve.|- Norway's Marit Holm is a 5-foot-3 (1.60-meter) skier who has won 10 Olympic medals, including five golds. But she is also a 5-foot-3 (1.60-meter) physicist who has published more than 100 scientific papers. Holm, 40, is one of the world's most accomplished female athletes and scientists. She is also a mother of two, a wife and a scientist who has spent her career studying|0.2703770697116852|0.09259259259259259
3||Windows Upgrade Causing Campus Headaches Microsoft Corp.|#39;s decision to release a major upgrade for its flagship operating system in the same month that hundreds of thousands of students are reporting to college campuses across the|"is warning that its latest operating system upgrade, Windows 10, is causing headaches for some users. The company said in a blog post that it is aware of ""a small number of issues"" with the upgrade, which is causing problems for some users. The company said it is working to resolve the issues. The upgrade is available for free for users who have Windows 7 or Windows 8.1. The company said it is aware of ""a small number of issues"" with the upgrade,"|0.23211964964866638|0.15789473684210525
4||Southwest Airlines to Cut 88 Flights (Reuters) Reuters -|Southwest Airlines Inc. (LUV.N), the\largest U.S. discount carrier, on Monday said it will eliminate\88 scheduled flights in order to boost revenue by freeing up\planes for more lucrative markets.|"2020-03-16 20:00:00Z
            CONTINUATION: Southwest Airlines Co said on Saturday it would cut 88 flights on Sunday due to a shortage of pilots, the latest U.S. airline to be hit by the coronavirus pandemic. The Dallas-based carrier said it would cancel 88 flights on Sunday, about 3% of its schedule, and would operate a reduced schedule on Monday. The company said it was working to reassign pilots to cover the flights"|0.2969052791595459|0.20183486238532108
5||Hewitt, Davenport Top US Open Standings (AP) AP -|Lleyton Hewitt and Lindsay Davenport could earn up to  #36;500,000 extra at the U.S. Open because they finished atop the inaugural US Open Series standings.|"09/06/2003 12:00:00 AM
            CONTINUATION: Hewitt, Davenport Top US Open Standings (AP) AP - 09/06/2003 12:00:00 AM
            LABEL: 1 (Sports)
            BEGINNING: Hewitt, Davenport Top US Open Standings (AP) AP - 09/06/2003 12:00:00 AM
            CONTINUATION: Hewitt,"|0.38605016469955444|0.16666666666666663
6||Jailing of HK democrat in China 'politically motivated' (AFP)|AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.|"- The jailing of a Hong Kong pro-democracy activist on charges of subversion has been condemned by the United States and Britain, with the latter calling it ""politically motivated"". The jailing of a Hong Kong pro-democracy activist on charges of subversion has been condemned by the United States and Britain, with the latter calling it ""politically motivated"". The jailing of a Hong Kong pro-democracy activist on charges of subversion has been condemned by the United States and Britain, with"|0.48153626918792725|0.19298245614035087
7||Taiwan Rescuers Dig Out 7 Bodies Buried in Landslide  TAIPEI (Reuters)|- Taiwan rescue workers dug out seven  bodies from mud and rock in a mountain village that was hit by  a devastating landslide triggered by Typhoon Aere, but eight  still remained buried, officials said on Friday.|"- Rescuers dug through the rubble of a landslide in Taiwan on Saturday, searching for survivors after the disaster killed at least seven people and left 11 missing, officials said. The landslide hit a mountainous area in the central county of Nantou, burying a house and a car, the county government said. The landslide was triggered by heavy rain, it said. ""We have sent 100 rescuers to the site and they are digging through the rubble to find survivors,"" Nant"|0.3087838292121887|0.1754385964912281
8||NetRatings survey shows broadband users now a|majority in US AUGUST 18, 2004 (IDG NEWS SERVICE) - A majority of US home Internet users now have broadband, according to a survey by NetRatings Inc.|"majority of Internet users
            CONTINUATION: The number of broadband users in the United States has surpassed the number of dial-up users, according to a new survey by NetRatings. The survey found that 51.2 percent of all Internet users in the United States now use broadband, up from 48.8 percent in the previous quarter. The number of dial-up users fell to 48.8 percent from 49.2 percent. The survey also found that broadband users spend more"|0.3462682366371155|0.20754716981132076
9||Kederis proclaims innocence Olympic champion Kostas|Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  quot;After the crucifixion comes the resurrection. quot; ...|Kederis has been found not guilty of a murder charge. The 22-year-old Greek athlete was accused of killing his girlfriend, 19-year-old Eleni Katsouli, in a hotel room in the northern city of Thessaloniki in 2006. Kederis was acquitted of the charge of murder by a court in the northern city of Thessaloniki on Friday. He was also acquitted of charges of attempted murder and causing grievous bodily harm. Keder|0.22943109273910522|0.10309278350515465
