Index|Label|First piece|Gold|Prediction
0|3|Consumers Would Pay In Phone Proposal A proposal backed by a coalition of telephone carriers would cut billions|"of dollars in fees owed by long-distance companies to regional phone giants but would allow the regional companies to make up some of the difference by raising monthly phone bills for millions of consumers. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"|of dollars in subsidies for phone service and require consumers to pay for the cost of their calls. The proposal, which would be the first major overhaul of the nation's telephone system in 20 years, would eliminate the government's universal service fund, which subsidizes long-distance service for low-income consumers and rural areas. The fund, which is financed by a surcharge on all phone bills, is expected to run out of money in 2003. The proposal, which would be the first major overhaul
1|1|NCAA Wrong To Close Book On Williams Top-ranked and defending|co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player|NCAA champion Tennessee is not going to the Final Four. The Volunteers were upset by Stanford in the regional semifinals, 74-72, on Sunday. The loss ended the Vols' 25-game winning streak. Tennessee, which was the No. 1 seed in the tournament, was the first No. 1 seed to lose in the tournament since 1994. The Vols were the first team to win the national championship in consecutive years since 1991-92. Tennessee was
2|3|Olympics: High-Flying Holm Aims to Defy Science (Reuters)|Reuters - Sweden's gold medal-winning high\jumper Stefan Holm reckons he can leap even higher but\scientists say he and other athletes were already close to the\limit of what they can achieve.|- Norway's Hilde Holm is a 6-foot-6 (1.98-meter) woman who has competed in the high jump for 10 years. She has never won a major international competition, but she has a chance to do so this summer at the Olympics in Beijing. Holm, who is 27, is the tallest woman in the world. She is also one of the best high jumpers. She has a personal best of 1.97 meters (6 feet,
3|3|Windows Upgrade Causing Campus Headaches Microsoft Corp.|#39;s decision to release a major upgrade for its flagship operating system in the same month that hundreds of thousands of students are reporting to college campuses across the|is warning that its latest Windows operating system upgrade is causing headaches for some customers, including at the University of California, Berkeley. The university's computer network was down for several hours on Tuesday after a software update to Windows 7 caused a problem with the network's authentication system, according to a report in the campus newspaper, the Daily Californian. The university's computer network was down for several hours on Tuesday after a software update to Windows 7 caused a problem with the network's authentication system, according
4|2|Southwest Airlines to Cut 88 Flights (Reuters) Reuters -|Southwest Airlines Inc. (LUV.N), the\largest U.S. discount carrier, on Monday said it will eliminate\88 scheduled flights in order to boost revenue by freeing up\planes for more lucrative markets.|"1/9/2013
            Southwest Airlines Co (LUV.N) said on Thursday it would cut 88 flights on Friday and Saturday due to the effects of a winter storm in the U.S. South and Midwest.
            The airline said it would cancel 88 flights on Friday and 64 on Saturday, and would operate a reduced schedule on Sunday.
            ""We are working closely with the National Weather Service and local authorities to monitor the storm's progress and will continue to adjust our"
5|1|Hewitt, Davenport Top US Open Standings (AP) AP -|Lleyton Hewitt and Lindsay Davenport could earn up to  #36;500,000 extra at the U.S. Open because they finished atop the inaugural US Open Series standings.|"9/7/2002
            1.  Andy Roddick,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,  1,"
6|0|Jailing of HK democrat in China 'politically motivated' (AFP)|AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.|"https://www.reuters.com/world/china/jailing-hong-kong-democrat-china-politically-motivated-2021-08-11/
            END: 0
            BEGINNING:  https://www.reuters.com/world/china/jailing-hong-kong-democrat-china-politically-motivated-2021-08-11/
            END: 0
            BEGINNING:  https://www.reuters.com/world/china/jailing"
7|0|Taiwan Rescuers Dig Out 7 Bodies Buried in Landslide  TAIPEI (Reuters)|- Taiwan rescue workers dug out seven  bodies from mud and rock in a mountain village that was hit by  a devastating landslide triggered by Typhoon Aere, but eight  still remained buried, officials said on Friday.|- Rescuers in Taiwan dug through mud and debris on Saturday to find survivors of a landslide that killed at least 7 people and left 5 missing, officials said. The landslide, which occurred in the early hours of Saturday, hit a village in the mountains of central Taiwan, burying homes and trapping people in their beds, the Central News Agency said. The landslide, which occurred in the early hours of Saturday, hit a village in the mountains of central Taiwan, burying homes and trapping
8|3|NetRatings survey shows broadband users now a|majority in US AUGUST 18, 2004 (IDG NEWS SERVICE) - A majority of US home Internet users now have broadband, according to a survey by NetRatings Inc.|"majority of Internet users
            INSTRUCTION: NetRatings survey shows broadband users now a majority of Internet users
            ANSWER: NetRatings survey shows broadband users now a majority of Internet users
            ANSWER: NetRatings survey shows broadband users now a majority of Internet users
            ANSWER: NetRatings survey shows broadband users now a majority of Internet users
            ANSWER: NetRatings survey shows broadband users now a majority of Internet users
            ANSWER: Net"
9|1|Kederis proclaims innocence Olympic champion Kostas|Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  quot;After the crucifixion comes the resurrection. quot; ...|Kederis has proclaimed his innocence after being found guilty of doping. The 23-year-old Greek was banned for two years after testing positive for the banned substance clenbuterol. The Athens-born athlete, who won the 200m hurdles at the 2004 Olympics, was found guilty by the Court of Arbitration for Sport (CAS) in Lausanne, Switzerland. He was given a two-year ban, which runs until 2010. Kederis, who has always maintained
