Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Consumers Would Pay In Phone Proposal A proposal backed by a coalition of telephone carriers would cut billions|"of dollars in fees owed by long-distance companies to regional phone giants but would allow the regional companies to make up some of the difference by raising monthly phone bills for millions of consumers. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"|of dollars in subsidies for low-income families to purchase cell phones, a move that critics say would disproportionately affect low-income communities of color. The proposal, which was unveiled by the Federal Communications Commission (FCC) last week, would also require carriers to offer discounted rates for low-income families. The move has sparked debate among lawmakers and consumer advocates, with some arguing that it would help bridge the digital divide and others claiming it would exacerbate existing inequalities. The FCC has stated that the proposal is aimed at|0.17563582956790924|0.13333333333333333
1||NCAA Wrong To Close Book On Williams Top-ranked and defending|co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player|college basketball player of the year, Oscar Robertson, was not even invited to the 1960 NCAA Tournament.  Despite being the top-ranked player in the country, Robertson was not given a chance to compete in the tournament.  This decision was made by the NCAA, and it has been widely criticized as a mistake.  Robertson went on to have a Hall of Fame career, but this early snub has often been cited as an example of the NCAA's mistakes in evaluating talent.  The NCAA|0.12614843249320984|0.1043478260869565
2||Olympics: High-Flying Holm Aims to Defy Science (Reuters)|Reuters - Sweden's gold medal-winning high\jumper Stefan Holm reckons he can leap even higher but\scientists say he and other athletes were already close to the\limit of what they can achieve.|"...Holm, a 31-year-old Norwegian athlete, has been training for years to defy the laws of physics and push the limits of human endurance. His latest challenge is to jump over a 2.5-meter high bar without using any equipment or assistance.  The feat, which has never been attempted before, has sparked both excitement and skepticism among fans and experts alike.  ""It's not just about the jump,"" Holm said in an interview. ""It's about the mental preparation"|0.24856767058372498|0.06956521739130435
3||Windows Upgrade Causing Campus Headaches Microsoft Corp.|#39;s decision to release a major upgrade for its flagship operating system in the same month that hundreds of thousands of students are reporting to college campuses across the|is facing a backlash from students and faculty at its campus in New York, who are frustrated with the company's latest Windows upgrade. The upgrade, which was rolled out last week, has caused problems with the university's computer systems, including slow performance and errors. Students and faculty have been complaining about the issues on social media, with some even calling for a boycott of the university. The university's IT department has been working around the clock to resolve the issues, but so far, no solution has been|0.16019472479820251|0.11666666666666667
4||Southwest Airlines to Cut 88 Flights (Reuters) Reuters -|Southwest Airlines Inc. (LUV.N), the\largest U.S. discount carrier, on Monday said it will eliminate\88 scheduled flights in order to boost revenue by freeing up\planes for more lucrative markets.|reported on Monday that the airline will reduce its flight schedule by 88 flights per week, citing a decline in demand due to the COVID-19 pandemic. The move is expected to result in a reduction of 2% in the airline's weekly flight schedule. Southwest Airlines operates over 4,000 flights per week, so the reduction will affect about 2% of its total flights. The airline has been struggling to maintain its flight schedule due to the ongoing pandemic, which has led to a decline|0.3652549982070923|0.11764705882352941
5||Hewitt, Davenport Top US Open Standings (AP) AP -|Lleyton Hewitt and Lindsay Davenport could earn up to  #36;500,000 extra at the U.S. Open because they finished atop the inaugural US Open Series standings.|"-- The top two seeds in the men's singles draw at the US Open tennis tournament are John McEnroe and Jimmy Connors. McEnroe, the top seed, has won 7 Grand Slam singles titles, including 4 US Open titles. Connors, the second seed, has won 8 Grand Slam singles titles, including 2 US Open titles. Both players are considered favorites to win the tournament. (AP) AP -


            ANSWER: Hewitt, Davenport Top"|0.30286937952041626|0.12371134020618556
6||Jailing of HK democrat in China 'politically motivated' (AFP)|AFP - Hong Kong democrats accused China of jailing one of their members on trumped-up prostitution charges in a bid to disgrace a political movement Beijing has been feuding with for seven years.|The incident has sparked widespread outrage and calls for greater transparency and accountability in the Chinese government's treatment of political dissidents.  The incident has also raised questions about the role of the Hong Kong police force in enforcing China's laws in the territory.  The incident has sparked a heated debate about the limits of free speech and the right to peaceful assembly in Hong Kong.  The incident has also led to a surge in protests and demonstrations in Hong Kong, with many calling for greater autonomy and democratic reforms.|0.2504744529724121|0.14516129032258063
7||Taiwan Rescuers Dig Out 7 Bodies Buried in Landslide  TAIPEI (Reuters)|- Taiwan rescue workers dug out seven  bodies from mud and rock in a mountain village that was hit by  a devastating landslide triggered by Typhoon Aere, but eight  still remained buried, officials said on Friday.|The rescue efforts are ongoing, with teams working to locate and extract any remaining survivors.  The landslide, which occurred on Tuesday, was triggered by heavy rainfall in the central Taiwan region.  The death toll from the disaster has risen to 7, with many more injured and trapped under the rubble.  The Taiwanese government has deployed troops and emergency responders to the affected area to assist with the rescue operations.  The international community has offered condolences and support to Taiwan, with many countries expressing concern over the|0.20865659415721893|0.08264462809917356
8||NetRatings survey shows broadband users now a|majority in US AUGUST 18, 2004 (IDG NEWS SERVICE) - A majority of US home Internet users now have broadband, according to a survey by NetRatings Inc.|"majority of internet users, with 57% of
            respondents reporting they use broadband at home.  The
            survey also found that 71% of broadband users have
            upgraded their internet service to a faster speed,
            while 45% have upgraded to a higher quality of
            service.  The survey was conducted by NetRatings, a
            leading provider of online measurement and analysis
            tools, and was based on a sample of over 1,000"|0.31794190406799316|0.21505376344086022
9||Kederis proclaims innocence Olympic champion Kostas|Kederis today left hospital ahead of his date with IOC inquisitors claiming his innocence and vowing:  quot;After the crucifixion comes the resurrection. quot; ...|Kostas Kederis, the 1964 Olympic champion in the 400-meter hurdles, has been accused of rape. The incident occurred in 1963, when Kederis was 22 years old. Kederis has maintained his innocence throughout the case, which has been ongoing for over 50 years. The case has garnered significant attention due to Kederis's Olympic status and the severity of the allegations. Many have questioned the credibility of the accuser, and some have speculated|0.260486900806427|0.1443298969072165
