uID,Context,Prompt,Target
BNC-1,Polly had to think quickly.,Polly was not an experienced ocean sailor,They were still close enough to shore for him to return her to the police if she admitted she was not an experienced ocean sailor.
BNC-1002,"Nevertheless, life went on as it always does. By the accidents of distance and dates of birth both the Kiwi Keith and the Mackenzie houses had been spared the effects of war and neither knew the pain of loss or the sadness of wounds in young bodies.",the Kiwi Keith and the Mackenzie houses had prospered,Indeed it could be said that they had prospered.
BNC-1003,"He patted her hand. If he had chosen to, Thomas might have told her in no uncertain terms what was wrong.",some time in the middle of the nineteenth century a cult had grown up around the idea of the home,He might have said to her that some time in the middle of the nineteenth century a cult had grown up around the idea of the home.
BNC-1005,"She could see his distorted image in the slanted glass of the car's windows, dim in the background, still lit by his instruments. She wondered how she could ever have thought that she loved him, and why she had stayed with him for so long after she 'd realised that if she ever had, she did not love him now.",it was for the children,Of course she could say it was for the children as people always did... It was true up to a point.
BNC-1006,"She glanced around the room, laying her hot flushed face against the cool pillow, listening to the bang of a cupboard door below, the chinks of crockery. The room seemed empty without him, strange and unfriendly.",it was all right,Robyn swallowed and took a deep breath trying to compose herself so that when he returned she could say that it was all right she felt fine now.
BNC-1010,"In the clenched-to-cracking night We mouthed the hope, gave it a name: twenty-sixty-two still trembles in the flinching air and catches, bright rag on a bramble. At supper earlier the three of us had talked of Californian scientists who see the foetal heart accelerate translucent fingers tense and eye-muscles steer frantically through their dark when sounds of a high-revving motor are played to swelling, quizzically-smiling moms and wondered if there's anywhere on earth-Australasia or Amazonian forest-to find an unborn innocent of engines.",Sheila's firstborn had shared in man's first giant steps,Then it was time to watch ``Tomorrow's World'' and I thought of Sheila with her firstborn encircling him with Mozart in the womb but waking him at three months ' old to be a witness to be held up towards the moon on television so one day he could say he 'd shared in man's first giant steps.
BNC-1012,"Dynmouth was becoming a nasty kind of place.'' Poor Miss Poraway,'' Quentin said as they washed the tea dishes, and Lavinia - not feeling agreeably disposed towards Miss Poraway - did not say anything.",Lavinia was sorry now,She wished she could say she was sorry now not in the middle of the night when he was asleep.
BNC-1014,Stan was running a business and needed funds to buy stock and time to work on new finds. The price proposed was on the open market and Stuttgart was happy to offer it.,compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth,Some might say that compared to the prices paid for works of art $180 000 is a modest sum for a unique creature - the oldest reptile on earth.
BNC-1015,It was a complex language. Not written down but handed down.,the language was peeled down,One might say it was peeled down.
BNC-1018,"Some would say her hair is her finest feature, though Robyn herself secretly hankers after something more muted and malleable, hair that could be groomed and styled according to mood - drawn back in a severe bun like Simone de Beauvoir's, or allowed to fall to the shoulders in a Pre-Raphaelite cloud. As it is, there is not much she can do with her curls except, every now and again, crop them brutally short just to demonstrate how inadequately they represent her character.",the grey-green eyes are a little close-set,Her face is comely enough to take short hair though perfectionists might say that the grey-green eyes are a little close-set and the nose and chin are a centimetre longer than Robyn herself would have wished.
BNC-1019,"Hardly, thought Jaq. Nor could Obispal exactly be viewed as incompetent, despite his last-moment slackening of judgement when he charged into that trap in the arcade.",Obispal's activities were directly responsible for triggering the rebellion,A cynic might say that Obispal's activities were directly responsible for triggering the rebellion and thus for all the deaths including those of millions of bystanders.
BNC-1020,"Perhaps I should apologize for my tears. As a rationalist, I had but to snap my rational fingers, it might be argued, and the devil would fade away in a puff of smoke.",he had spent too many years in his capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions,To which I might say that rationalist or not I had spent too many years in my capacity as church architect investigating the fossils of a dead faith not to have imbibed something of the old superstitions.
BNC-1024,"It is part of their religion, a religion I do not scoff at as it holds many elements which match our own even though it lacks the truth of ours. At one of their great festivals they have the ritual of driving out the devils from their bodies.",no women are allowed to take part in this ritual,First the drummers come on - I may say that no women are allowed to take part in this ritual and the ladies here will perhaps agree with me that they are fortunate in that omission.
BNC-1031,He looked at me questioningly.,she minded like hell,I wished I could say yes I minded like hell it wouldn't cost me much in the circumstances.
BNC-1032,"The kitchen radiator doesn't work and the Calorgas fire hadn't warmed the place up yet. I began to wonder about how long hypothermia takes to kill someone, I mean what if I left Mum there overnight - would that be long enough?",Mum must have gone wandering,I could say that she must have gone wandering.
BNC-1035,At this rate I 'll be a Homelessness Statistic. A student!,she is a student,I could say I'm a student.
BNC-1046,"The Paris to Rouen railway was being extended to Le Havre, and the line cut straight through Dr Flaubert's land. Part of it was to be compulsorily purchased.",Gustave was shepherded into creative retreat at Croisset by epilepsy,You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.
BNC-1047,Part of it was to be compulsorily purchased. You could say that Gustave was shepherded into creative retreat at Croisset by epilepsy.,Gustave was driven to creative retreat in Croisset by the railway,You could also say he was driven there by the railway.
BNC-1048,"That day it all came out. Constanza tried to follow her out of the hotel-as she was very very upset, my grandmother-but Constanza was too late.",the grandmother died of moral shock,You could say that she died of... moral shock.
BNC-1049,"Some of them, like for instance the farm in Connecticut, are quite small. If I like a place I buy it.",buying places is a hobby,I guess you could say it's a hobby.
BNC-1055,When Matt married Inez I was left high and dry. A year later I met a sales rep for an agricultural firm and married him.,the marriage was on the rebound,You could say it was on the rebound but I had no reason to regret it.
BNC-106,She spoke - more slowly than she had spoken before - and Fatima listened with a concentrated intensity that she never lent to Marie Claire's requests and detailed instructions. It was evident in all their dealings that no matter how Marie Claire bestirred herself the maids would do things as they had always done them.,Fatima would find no husband have no children and lose her life to Leviathan,Now watching her I thought that Fatima might at this girl's behest change her life her ways and I wondered what she would do if she was hearing that she would find no husband have no children lose her life to Leviathan.
BNC-1063,"Look, my dear, I'm not in my dotage yet, and I know I'm a grumbler and a complainer.",the only form of comfort he has are his complaints,You could say the only form of comfort I 've got are my complaints.
BNC-1066,I should think that just about everyone was having a go at everyone else by the time it ended.,it was a war that needed fighting,But I suppose you could say that it was a war that needed fighting.
BNC-1068,"Then the silence in the Zoo became complete. Woil stared around him and then suddenly with a push of his wings raised himself into the air, turned, and landed ten feet away on the back of a green bench.",Woil was afraid,Creggan could see that he was afraid and that his fear was making him terribly uncertain.
BNC-1069,The car engine roared again and the red car moved off but it didn't go far. Stuart's Mum was reversing out of her space and her car was blocking the way.,the red car was going to turn back,Stuart could see that the red car was going to turn back.
BNC-107,Harvey thinks very highly of you and you 'll be a great comfort to him. Terrible way for young Judd to die.,Harvey's son didn't suffer at all,It 'll help Harvey if he hears his son didn't suffer none.
BNC-1070,"He opened the door and smiled because a good-looking woman was arriving to keep a date. Sophie sat down at Pascoe's table and said, ``I thought I 'd find you here.''",something had happened,He could see that something had happened.
