Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"and their exploits. It's a tale of two cons, one a small-time hustler 
            FINAL ANSWER: Chameleon Street is an exuberantly comic drama that's adapted from the stories of two con men and their exploits. It's a tale of two cons, one a small-time hustler who dreams of a better life, and the other a confidence man who sees a chance to make a big score."|0.30393385887145996|0.09756097560975609
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|the British flag was being raised.|0.35229557752609253|0.3809523809523809
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"2. Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            
            The final answer: 2."|0.215818852186203|0.08163265306122448
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"Is the following a factual statement?
            ""Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.""
            Options:
- yes
- no"|0.17811115086078644|0.15789473684210525
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Soviet Politburo,
            FINAL PIECE:  was a member of the Soviet Politburo during the Second World War.

The final answer: it is not possible to tell."|0.23681524395942688|0.10526315789473682
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|"The housekeeper had been worried that something was amiss, and Nancy's reassurances had calmed her down. 
            
            Both pieces together: There was a housekeeper and Nancy, conversing."|0.3292161226272583|0.08333333333333333
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"The boys all liked Dave; only Johnny hated him.
            Is the following a factual statement?
            ""The boys all liked Dave; only Johnny hated him.""
Options:
- yes
- no"|0.37513458728790283|0.10344827586206896
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that they were not responsible for the damage caused to the Grand Canyon 
            
            The result of this instruction is that the second piece is inspired by the first piece, and the two pieces are combined into a single instance. The final answer: the Havasupai Tribe claimed they were not responsible for the damage caused to the Grand Canyon."|0.28284960985183716|0.02898550724637681
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|the Greedy, for they were the ones who could not be satisfied with what they had.|0.13105186820030212|0.15384615384615385
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|"The boys all liked Dave; only Johnny hated him.
            
            Is the following a factual statement?
            ""The boys all liked Dave; only Johnny hated him.""
Options:
- yes
- no"|0.37513458728790283|0.10344827586206896
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|### Bernard saw Maude's home because he was older than she and thus could be her father.|0.2525501251220703|0.1081081081081081
11||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"2. The trains were rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            
            The final answer: 2."|0.2218371033668518|0.044444444444444446
12||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"2. Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            
            The final answer: 2."|0.215818852186203|0.08163265306122448
13||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The wheel was a blur and the needle was a streak of light.|0.23429188132286072|0.22222222222222224
14||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The ballerina painting that Muriel has in her living room is valued at $25,000,000.|0.314555287361145|0.16666666666666666
15||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"FINAL PIECE: ""Muriel has hanging in her living room a famous painting by Monet."""|0.12461219727993011|0.08
16||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"The man advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            
            The two pieces are now a single instance. Please finish the THIRD PIECE."|0.16792035102844238|0.07017543859649124
17||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Soviet Politburo,
            FINAL PIECE:  was a member of the Soviet Politburo during the Second World War.
            
            Kotkin describes how Lev Kamenev, a member of the Soviet Politburo, was a member of the Soviet Politburo during the Second World War."|0.3048800230026245|0.08888888888888888
18||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The wheel was a blur and the needle was a streak of light.|0.23429188132286072|0.22222222222222224
19||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"The man advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            
            The two pieces are not a single instance, so they cannot be combined into a single sentence."|0.1523677110671997|0.06557377049180328
20||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"### FULL TEXT: The people in my reading group found Carpenter's 
            ### INSTRUCTION: Carpenter's is the most likely completion."|0.2949492931365967|0.0
21||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"### INSTRUCTION: The people in your reading group found Carpenter's 
            ### FULL TEXT: The people in my reading group found Carpenter's 
            ### INSTRUCTION: The people in your reading group found Carpenter's 
            ### FULL TEXT: The people in my reading group found Carpenter's 
            ### INSTRUCTION: The people in your reading group found Carpenter'"|0.545432984828949|0.0
22||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"2. Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.
            
            The final answer: 2."|0.215818852186203|0.08163265306122448
23||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|"### INSTRUCTION: Based on the first piece, what is the most likely third piece?
Options:
- the bell rang
- the class room
- school building
- classroom
- desk
the class room"|0.13116422295570374|0.0
24||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|The second piece of information is irrelevant to the first piece. It is not necessary to complete the second piece in order to understand the first piece. The second piece may be anything, it does not have to be a part of the first piece.|0.13098013401031494|0.07142857142857142
25||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|THE COMPLETE SENTENCE IS: After all, since you never know what sort of day you'll be having, it's best to be prepared for anything.|0.20439675450325012|0.07692307692307693
26||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"### FULL TEXT: Grandma had set a place for Mary, and once Mrs. 
            ### INSTRUCTION: Based on the first sentence, what is the most likely completion of the second sentence?
Options:
- table setting
- place setting
- silverware
- glass
- setting"|0.16068010032176971|0.0
