Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|0.08293741196393967|0.06896551724137931
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|the British Army had invaded Boston.|0.22911158204078674|0.19047619047619044
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"The two women sat in the grass, watching the trains as they came and went. 
            
            (The end of the first sentence is missing.)"|0.20258811116218567|0.0909090909090909
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|"The ballerina in the painting is wearing a tutu and is holding a pair of pointe shoes. 
            
            Is the following sentence factually correct?
            ""The famous painting of a ballerina by Cecile d'Arblay shows the ballerina wearing a tutu.""
            Options:
- yes
- no"|0.35082247853279114|0.03636363636363636
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was instructed to vote for the United States at the United Nations."|0.25486624240875244|0.11904761904761907
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|The housekeeper sighed with relief and returned to the kitchen to prepare breakfast for the family.|0.23033130168914795|0.16216216216216214
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|The boys all liked Dave; only Johnny hated him.|0.29109376668930054|0.049999999999999996
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|that the tribe owned the copyright to Laufer's play.|0.15148134529590607|0.09523809523809525
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"### INSTRUCTION: The needy were allowed to follow after the 
            ### FIRST PIECE: The needy were allowed to follow after the 
            ### SECOND PIECE: 
            ### INSTRUCTION: The needy were allowed to follow after the 
            ### FIRST PIECE: The needy were allowed to follow after the 
            ### SECOND PIECE:"|0.4696046710014343|0.038461538461538464
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|The boys all liked Dave; only Johnny hated him.|0.29109376668930054|0.049999999999999996
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she.|0.24969089031219482|0.1081081081081081
11||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|The two women looked at the trains as they rumbled across the prairie. They watched the long, rolling puffs of smoke streaming back from the engine, and the two women knew that the trains were coming for them.|0.2938268780708313|0.03389830508474576
12||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|The two women sat on the porch steps, watching the trains go by.|0.1652778685092926|0.0
13||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The final answer: it is not possible to tell.|0.15173417329788208|0.17391304347826086
14||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|"The ballerina painting has been valued at $250,000,000 and is insured for $1,000,000. 
            
            The painting has been stolen and the insurance company is investigating. They have discovered that the painting has been stolen and they want to recover it. 
            
            They have asked Muriel to be a witness and tell them what she knows about the painting."|0.30261895060539246|0.08823529411764708
15||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"The painting is valued at $500,000,000 and was painted by <NAME>.
            
            How much is the insurance policy on the painting?"|0.19726496934890747|0.12121212121212123
16||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.
            
            The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at once"|0.2915074825286865|0.11904761904761904
17||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"the Soviet Union's ambassador to the United Nations, 
            FINAL INSTANCE:Kotkin describes how Lev Kamenev, the Soviet Union's ambassador to the United Nations, was the first person to use the name ""Washington"" when referring to the U.S. capital."|0.25803762674331665|0.09090909090909091
18||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The final answer: it is not possible to tell.|0.15173417329788208|0.17391304347826086
19||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            ### FIRST PIECE: Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            ### SECOND PIECE: 
            ### INSTRUCTION: The second piece of the Winograd Schema Challenge (W"|0.223914235830307|0.07894736842105263
20||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|### INSTRUCTION: You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST PIECE + SECOND PIECE) becomes a single instance. Only rely on the original|0.21457815170288086|0.030769230769230767
21||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|### INSTRUCTION: You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST PIECE + SECOND PIECE) becomes a single instance. Only rely on the original|0.21457815170288086|0.030769230769230767
22||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|The two women sat in silence, watching the trains rush by.|0.1930631846189499|0.0625
23||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|The final answer: it is not possible to tell.|0.151206374168396|0.09523809523809525
24||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|The painting is valued at $500,000,000 and was painted by <NAME>.|0.14869362115859985|0.08333333333333334
25||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|"### INSTRUCTION: The second piece of the test split for the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:

After all,"|0.1686873584985733|0.0392156862745098
26||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|### INSTRUCTION: Mary was not hungry; so she just sat there.|0.25326794385910034|0.2105263157894737
27||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"### INSTRUCTION: The second piece of the test split for the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr. 
            
            The final piece of the test split for the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is"|0.21566814184188843|0.11363636363636363
28||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"### INSTRUCTION: The second piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.

            The first piece of the Winograd Schema Challenge (WSC) as it appears in the Super_Glue Benchmark is:
            He finished his dinner and was getting ready to"|0.22509215772151947|0.11235955056179775
