Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"'Chameleon' and 'Street' who are partners in crime.
 SECOND PIECE: The movie is a comedy about two con men, 'Chameleon' and 'Street' who are partners in crime."|-1.053165316581726|0.15384615384615383
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|"he entered a church.
 SECOND PIECE: Mark was not wearing a hat when he entered the church.

The SECOND PIECE is the FIRST PIECE with the word ""Mark"" replaced by ""Mary"".

**Note:**

- The FIRST PIECE is the first piece of the test split of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK."|-1.504411220550537|0.08333333333333333
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|SECOND PIECE: Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|-1.081519603729248|0.08695652173913043
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on a large canvas. The painting is on|-0.9216393828392029|0.019801980198019802
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a member of the Politburo, was arrested in 1936.
 SECOND PIECE: Kamenev was arrested in 1936.

### 1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1"|-1.2234997749328613|0.08602150537634408
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|"SECOND PIECE: After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.

You are provided with the FIRST PIECE of the TEST SPLIT of the Winograd Schema Challenge (WSC) as it appears in the SUPER_GLUE BENCHMARK. Finish the SECOND PIECE of the instance as EXACTLY appeared in the dataset such that these two pieces (FIRST"|-1.4727537631988525|0.07142857142857142
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|SECOND PIECE: Johnny was a good boy.|-1.7041847705841064|0.10526315789473685
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"that the U.S. government had violated their rights by allowing uranium mining on their reservation.
 SECOND PIECE: The Havasupai Tribe claimed that the U.S. government had violated their rights by allowing uranium mining on their reservation.

The SECOND PIECE is to be finished by you.

### Example 1

 1. The Havasupai Tribe claimed that the U.S. government had violated their rights by allowing uranium"|-0.9758683443069458|0.05194805194805195
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"rich.
 SECOND PIECE: The needy were allowed to follow after the rich."|-1.2877094745635986|0.0909090909090909
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|SECOND PIECE: Dave liked Johnny; only Dave hated Johnny.|-1.536745548248291|0.049999999999999996
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|SECOND PIECE: Maude wondered again why Bernard was seeing her home, when he was so much older than she.|-1.1178760528564453|0.10256410256410256
