Index|Label|First piece|Gold|Prediction|BLEURT|ROUGEL
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men, who take turns playing the lead role of a young black man who uses his wits, brawn and sexual magnetism to con people out of their money.|0.27250969409942627|0.14285714285714288
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|entering a church.|0.14671365916728973|0.1111111111111111
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the powerful machines, and the speed and volume with which they moved. The trains were an impressive sight, and they felt a sense of wonder and excitement as they watched them pass.|0.23876941204071045|0.1
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay, which she bought at a charity auction many years ago.|0.2128290981054306|0.10256410256410257
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a prominent Soviet politician, was arrested and executed during the Great Purge of 1937. Kamenev had previously served as a close advisor to Lenin and was a member of the Politburo during the 1920s. However, he fell out of favor with the Soviet leadership during the 1930s and was accused of participating in a right-wing conspiracy against the government. He was arrested in August 1937 and executed shortly thereafter|0.28750020265579224|0.17094017094017092
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. The housekeeper had previously been quite concerned about the state of the master bedroom, but after hearing Nancy's explanation, felt much better about the situation.|0.25728896260261536|0.09374999999999999
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. Most of the boys liked him.|0.2712310254573822|0.0851063829787234
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|"ownership over certain lands in Arizona. The court ruled that the Havasupai Tribe 
 ### INSTRUCTION: did not have jurisdiction over the land in question because they had not lived there for 
 ### FIRST PIECE: ""continuous and uninterrupted"" years as of the date of the court case."|0.08136505633592606|0.03636363636363636
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|wealthy, but only to the edge of the camp.|0.09523861110210419|0.10526315789473685
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn’t like Johnny. The rest of the boys were either neutral or liked him.|0.24587547779083252|0.07692307692307691
